Gradient	Tool/Model	TP	FN	FP	TN	Recall%	Prec%	MCC%	MCC
1-2k	rm_score	2210	978	575	59997	69.32	79.35	72.91	72.91
1-2k	vs2_score+vb_score+dvf_score+gn_score+add_score	1786	1402	136	60436	56.02	92.92	71.12	71.12
1-2k	total_score	1606	1582	88	60484	50.38	94.81	68.07	68.07
1-2k	vs2_score+vb_score+dvf_score+gn_score+rm_score	1563	1625	67	60505	49.03	95.89	67.55	67.55
1-2k	vs2_score+vb_score+gn_score+rm_score	1602	1586	122	60450	50.25	92.92	67.25	67.25
1-2k	vs2_score+dvf_score+gn_score+rm_score	1589	1599	117	60455	49.84	93.14	67.06	67.06
1-2k	vs2_score+dvf_score+gn_score+add_score+rm_score	1547	1641	74	60498	48.53	95.43	67.02	67.02
1-2k	vs2_score+gn_score+rm_score	1591	1597	132	60440	49.91	92.34	66.78	66.78
1-2k	vs2_score+gn_score+add_score+rm_score	1563	1625	119	60453	49.03	92.93	66.41	66.41
1-2k	vb_score+dvf_score+gn_score+add_score	1443	1745	78	60494	45.26	94.87	64.46	64.46
1-2k	vb_score+dvf_score+add_score	1387	1801	45	60527	43.51	96.86	63.88	63.88
1-2k	dvf_score+gn_score+add_score	1407	1781	71	60501	44.13	95.20	63.75	63.75
1-2k	vs2_score+dvf_score+gn_score+add_score	1912	1276	801	59771	59.97	70.48	63.33	63.33
1-2k	vs2_score+vb_score+gn_score+add_score+rm_score	1378	1810	72	60500	43.22	95.03	63.02	63.02
1-2k	vs2_score+vb_score+dvf_score+gn_score	1873	1315	804	59768	58.75	69.97	62.40	62.4
1-2k	dvf_score+add_score	1325	1863	60	60512	41.56	95.67	61.99	61.99
1-2k	vs2_score+dvf_score+add_score+rm_score	1337	1851	81	60491	41.94	94.29	61.79	61.79
1-2k	vs2_score+dvf_score+add_score	1935	1253	969	59603	60.70	66.63	61.77	61.77
1-2k	vs2_score+dvf_score+rm_score	1349	1839	105	60467	42.31	92.78	61.53	61.53
1-2k	vs2_score+vb_score+gn_score+add_score	1815	1373	787	59785	56.93	69.75	61.28	61.28
1-2k	add_score	1350	1838	146	60426	42.35	90.24	60.62	60.62
1-2k	dvf_score	2170	1018	1606	58966	68.07	57.47	60.40	60.4
1-2k	vs2_score+dvf_score+gn_score	1883	1305	996	59576	59.07	65.40	60.27	60.27
1-2k	vs2_score+gn_score	1864	1324	996	59576	58.47	65.17	59.83	59.83
