Contig	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	ckv_partial	ckv_nucl_range	vs2_region	vs2_dsDNAphage	vs2_ssDNA	vs2_NCLDV	vs2_RNA	vs2_lavidaviridae	vs2_max_score	vs2_max_score_group	vs2_hallmark	vs2_viral	vs2_cellular	vs2_nucl_range	vs2_orf_range	vb_lifestyle	vb_partial	vb_nucl_range	vb_prot_range	vb_isPhage	dvf_v_score	dvf_pvalue	gn_topology	gn_coordinates	gn_partial	gn_genes	gn_genetic_code	gn_hallmarks	gn_marker_enrichment	gn_taxonomy	gn_v_score	gn_fdr	is_provirus	provirus_range	provirus_source	host_rate	vs2_score	vb_score	dvf_score	gn_score	add_score	rm_score	total_score
NZ_AP019770.1_0-2283739:0-2283739_frag_70624_89353	18729	No		30	0	20	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.9568585157394408	0.0127841982022811											0			0.0	0.0	0.0	1.0	0.0	0.0	-4.0	-3.0
NZ_AP019770.1_0-2283739:0-2283739_frag_274588_286397	11809	No		15	0	8	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.599036693572998	0.0424125689251454											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP019770.1_0-2283739:0-2283739_frag_713062_723151	10089	No		14	0	8	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.8742371201515198	0.0198466651559785											0			0.0	0.0	0.0	0.5	0.0	0.0	-4.0	-3.5
NZ_AP019770.1_0-2283739:0-2283739_frag_1647448_1660210	12762	No		13	0	8	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.8839989304542542	0.0189402522849157											0			0.0	0.0	0.0	0.5	0.0	0.0	-4.0	-3.5
NZ_AP024487.1_0-2464819:0-2380949_frag_132451_147839	15388	No		13	0	8	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.927314281463623	0.0158244580406375											0			0.0	0.0	0.0	1.0	0.0	0.0	-4.0	-3.0
NZ_AP024487.1_0-2464819:0-2380949_frag_206649_220467	13818	No		13	1	10	Low-quality	Genome-fragment	7.44	AAI-based (medium-confidence)	0.0	1.0																						0.9829641580581664	0.0088752926958229											0			0.0	0.0	0.0	1.0	0.0	0.0	-2.5	-1.5
NZ_AP024487.1_0-2464819:0-2380949_frag_390611_408979	18368	No		27	0	16	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.7156385183334351	0.0317811012916383											0			0.0	0.0	0.0	0.5	0.0	0.0	-4.0	-3.5
NZ_AP024487.1_0-2464819:0-2380949_frag_887641_898035	10394	No		14	0	6	Not-determined	Genome-fragment			0.0	1.11	no viral genes detected																					0.7404999136924744	0.0298927411435909											0			0.0	0.0	0.0	0.5	0.0	0.0	-4.0	-3.5
NZ_AP024487.1_0-2464819:0-2380949_frag_913239_923684	10445	No		13	0	6	Low-quality	Genome-fragment	12.14	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected																					0.9116264581680298	0.0169385905279855											0			0.0	0.0	0.0	1.0	0.0	0.0	-4.0	-3.0
NZ_AP024487.1_0-2464819:0-2380949_frag_2177776_2196936	19160	No		28	0	14	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.9455647468566896	0.0141438175088752											0			0.0	0.0	0.0	1.0	0.0	0.0	-4.0	-3.0
NZ_AP025226.1_0-3075795:13526-383208_frag_47960_60861	12901	No		16	0	10	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.251400738954544	0.1318641891381524											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP025226.1_0-3075795:2703552-3046217_frag_287378_307290	19912	No		26	0	10	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.4821293950080871	0.0731173049323967											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP025587.1_0-1791155:112042-610364_frag_409317_419370	10053	No		16	0	9	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.3094730675220489	0.1169083767656167											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP025698.1_0-1472762:0-1472762_frag_0_13864	13864	No		11	0	9	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.4754993915557861	0.0755910567263388											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP025698.1_0-1472762:0-1472762_frag_429617_445774	16157	No		22	0	19	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.6827634572982788	0.0345758743107485											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP026695.1_0-1775052:0-350864_frag_265459_280883	15424	No		18	0	10	Not-determined	Genome-fragment			0.0	1.01	no viral genes detected																					0.7037496566772461	0.0327063977641815											0			0.0	0.0	0.0	0.5	0.0	0.0	-4.0	-3.5
NZ_AP026695.1_0-1775052:393330-577629_frag_127227_139823	12596	No		14	0	6	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.4396769106388092	0.0862980587657678											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP026695.1_0-1775052:990696-1026284_frag_0_13637	13637	No		18	0	8	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.1831842362880706	0.152749452375557											0			0.0	0.0	0.0	0.0	0.0	0.0	-4.0	-4.0
NZ_AP026830.1_0-2432148:0-2432148_frag_711659_730000	18341	No		26	0	7	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected			full	0.133	0.0	0.52	0.025	0.087	0.52	NCLDV	0.0	15.0	0.0	138-18230	1-20						0.806804895401001	0.0247186343379409											0			0.0	0.0	0.0	0.5	0.0	0.0	-4.0	-3.5
