Contig	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	ckv_partial	ckv_nucl_range	vs2_region	vs2_dsDNAphage	vs2_ssDNA	vs2_NCLDV	vs2_RNA	vs2_lavidaviridae	vs2_max_score	vs2_max_score_group	vs2_hallmark	vs2_viral	vs2_cellular	vs2_nucl_range	vs2_orf_range	vb_lifestyle	vb_partial	vb_nucl_range	vb_prot_range	vb_isPhage	dvf_v_score	dvf_pvalue	gn_topology	gn_coordinates	gn_partial	gn_genes	gn_genetic_code	gn_hallmarks	gn_marker_enrichment	gn_taxonomy	gn_v_score	gn_fdr	is_provirus	provirus_range	provirus_source	host_rate
NC_076503.1_frag_0_14453	14453	No		7	6	0	High-quality	High-quality	90.24	AAI-based (high-confidence)	0.0	1.0				full	0.413	0.013	0.22	1.0	0.113	1.0	RNA	1.0	14.3	0.0	310-14452	1-7						0.1947823166847229	0.1484628748394894	No terminal repeats			7.0	11.0	4.0	8.5914	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae	0.9765		0			0.0
NC_077100.1_frag_0_10050	10050	No		6	1	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0				full	0.78	0.153	0.513	0.985	0.807	0.985	RNA	1.0	16.7	0.0	1-10050	1-6						0.5935354828834534	0.0431867965858448	No terminal repeats			6.0	11.0	1.0	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;	0.8703		0			0.0
NC_112206.1_frag_0_19440	19440	No		21	19	0	Low-quality	Genome-fragment	48.17	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.273	0.367	0.145	0.647	1.0	dsDNAphage	14.0	85.7	0.0	19-19439	1-21	lytic				1.0	0.9157850742340088	0.0165420348968955	No terminal repeats			21.0	11.0	12.0	29.5053	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9821		0			0.0
NC_112206.1_frag_19440_39429	19989	No		41	13	0	Low-quality	Genome-fragment	49.39	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.033	0.067	0.0	0.013	1.0	dsDNAphage	2.0	53.7	7.3	48-19987	1-41	lysogenic				1.0	0.7919394969940186	0.0260027192386131	No terminal repeats			41.0	11.0	4.0	50.3884	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9691		0			0.0
NC_076682.1_frag_0_17287	17287	No		14	13	0	Low-quality	Genome-fragment	13.44	AAI-based (high-confidence)	0.0	1.0				full	0.66	0.367	0.86	0.11	0.967	0.967	lavidaviridae	0.0	78.6	0.0	1-17287	1-14						0.7517054080963135	0.0291562806858524	No terminal repeats			14.0	11.0	7.0	15.4645	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9646		0			0.0
NC_076682.1_frag_17287_33009	15722	No		18	15	0	Low-quality	Genome-fragment	12.23	AAI-based (high-confidence)	0.0	1.0				full	0.573	0.107	0.9	0.005	0.633	0.9	NCLDV	0.0	81.2	6.2	1-15722	1-16						0.6600403785705566	0.0363320492484326	No terminal repeats			18.0	11.0	9.0	24.0146	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9811		0			0.0
NC_076682.1_frag_33009_48188	15179	No		18	18	0	Low-quality	Genome-fragment	11.15	AAI-based (high-confidence)	0.0	1.0				full	0.673	0.187	1.0	0.03	0.873	1.0	NCLDV	0.0	63.2	5.3	1-15164	1-19						0.7163119316101074	0.0317244504871969	No terminal repeats			18.0	11.0	10.0	24.0559	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9809		0			0.0
NC_076682.1_frag_48188_63771	15583	No		13	10	0	Low-quality	Genome-fragment	12.12	AAI-based (high-confidence)	0.0	1.0				full	0.227	0.047	0.953	0.04	0.447	0.953	NCLDV	0.0	41.7	8.3	1-15270	1-12						0.6992954611778259	0.0331029533952715	No terminal repeats			13.0	11.0	4.0	10.3097	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9748		0			0.0
NC_076682.1_frag_63771_78126	14355	No		13	13	0	Low-quality	Genome-fragment	10.34	AAI-based (high-confidence)	0.0	1.0				full	0.607	0.527	0.853	0.085	0.847	0.853	NCLDV	0.0	92.9	0.0	2-14354	1-14						0.6944041848182678	0.0335183926278419	No terminal repeats			13.0	11.0	9.0	18.9011	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9826		0			0.0
NC_076682.1_frag_78126_90637	12511	No		13	11	0	Low-quality	Genome-fragment	8.84	AAI-based (high-confidence)	0.0	1.0				full	0.527	0.5	0.693	0.13	0.913	0.913	lavidaviridae	0.0	76.9	0.0	3-12511	1-13						0.621717095375061	0.0398821663267618	No terminal repeats			13.0	11.0	8.0	15.4645	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9825		0			0.0
