Contig	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	ckv_partial	ckv_nucl_range	vs2_region	vs2_dsDNAphage	vs2_ssDNA	vs2_NCLDV	vs2_RNA	vs2_lavidaviridae	vs2_max_score	vs2_max_score_group	vs2_hallmark	vs2_viral	vs2_cellular	vs2_nucl_range	vs2_orf_range	vb_lifestyle	vb_partial	vb_nucl_range	vb_prot_range	vb_isPhage	dvf_v_score	dvf_pvalue	gn_topology	gn_coordinates	gn_partial	gn_genes	gn_genetic_code	gn_hallmarks	gn_marker_enrichment	gn_taxonomy	gn_v_score	gn_fdr	is_provirus	provirus_range	provirus_source	host_rate
NZ_AP019769.1_0-668961:315243-668961_frag_71860_81846	9986	No		9	0	5	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.3258121907711029	0.1134904448976508											0			0.0
NZ_AP019769.1_0-668961:315243-668961_frag_174255_183825	9570	No		10	0	6	Not-determined	Genome-fragment			0.0	1.03	no viral genes detected																					0.0235127173364162	0.2838582974544905											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_39486_46995	7509	No		12	0	5	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.8410431146621704	0.0221315809351159											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_506343_514169	7826	No		9	0	5	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.6549788117408752	0.0367097212780421											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_886794_896712	9918	No		5	0	3	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.8544400930404663	0.0211874008610922											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_925150_933809	8659	No		11	0	8	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.7046931982040405	0.0326119797567792											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_1019763_1025787	6024	No		7	0	7	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.8700516223907471	0.0201488027796661											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_1265609_1274294	8685	No		9	0	2	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.4957921504974365	0.0663947428053478											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_1279491_1287093	7602	No		10	0	6	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.856458842754364	0.0210552156507289											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_1914116_1919337	5221	No		4	0	1	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.9621350765228271	0.0120855049475035											0			0.0
NZ_AP019770.1_0-2283739:0-2283739_frag_2063533_2069834	6301	No		7	0	5	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.5195926427841187	0.0546113754815318											0			0.0
NZ_AP024487.1_0-2464819:0-2380949_frag_1141571_1151527	9956	No		12	0	11	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.773220419883728	0.0274945237555706											0			0.0
NZ_AP025226.1_0-3075795:421657-626469_frag_43636_48662	5026	No		5	0	0	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected			full	0.927	0.327	0.893	0.2	0.84	0.927	dsDNAphage	1.0	20.0	0.0	112-5024	1-5	lytic				1.0	0.3893651664257049	0.0990633733665684											0			0.0
NZ_AP025226.1_0-3075795:1023678-1365690_frag_80234_87166	6932	No		3	0	3	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected																					0.983206033706665	0.0088375254928619											0			0.0
NZ_AP025226.1_0-3075795:1023678-1365690_frag_295036_303114	8078	No		13	0	2	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected			full	0.267	0.113	0.7	0.085	0.747	0.747	lavidaviridae	0.0	18.2	9.1	2-8076	1-11						0.5033409595489502	0.0597854822871818											0			0.0
